,Hostname,Device Policy,Result
0,ATH-VPN-EXTR-ASA,firewall,PASSED
1,ATH-VPN-EXTR-ASA,firewall,FAILED
2,ATH-VPN-EXTR-ASA,firewall,PASSED
3,ATH-VPN-EXTR-ASA,firewall,PASSED
4,ATH-VPN-EXTR-ASA,firewall,PASSED
5,ATH-VPN-EXTR-ASA,firewall,FAILED
6,ATH-VPN-EXTR-ASA,firewall,FAILED
7,ATH-VPN-EXTR-ASA,firewall,PASSED
8,ATH-VPN-EXTR-ASA,firewall,PASSED
9,ATH-VPN-EXTR-ASA,firewall,UNKNOWN
10,ATH-VPN-EXTR-ASA,firewall,UNKNOWN
11,ATH-VPN-EXTR-ASA,firewall,FAILED
12,ATH-VPN-EXTR-ASA,firewall,PASSED
13,ATH-VPN-EXTR-ASA,firewall,PASSED
14,ATH-VPN-EXTR-ASA,firewall,PASSED
15,ATH-VPN-EXTR-ASA,firewall,PASSED
16,ATH-VPN-EXTR-ASA,firewall,FAILED
17,ATH-VPN-EXTR-ASA,firewall,FAILED
18,ATH-VPN-EXTR-ASA,firewall,PASSED
19,ATH-VPN-EXTR-ASA,firewall,FAILED
20,ATH-VPN-EXTR-ASA,firewall,PASSED
21,ATH-VPN-EXTR-ASA,firewall,FAILED
22,ATH-VPN-EXTR-ASA,firewall,FAILED
23,ATH-VPN-EXTR-ASA,firewall,PASSED
24,ATH-VPN-EXTR-ASA,firewall,FAILED
25,ATH-VPN-EXTR-ASA,firewall,ADVISORY
26,ATH-VPN-EXTR-ASA,firewall,PASSED
27,ATH-VPN-EXTR-ASA,firewall,UNKNOWN
28,ATH-VPN-EXTR-ASA,firewall,UNKNOWN
29,ATH-VPN-EXTR-ASA,firewall,FAILED
30,ATH-VPN-EXTR-ASA,firewall,PASSED
31,ATH-VPN-EXTR-ASA,firewall,PASSED
32,ATH-VPN-EXTR-ASA,firewall,PASSED
33,ATH-VPN-EXTR-ASA,firewall,PASSED
34,ATH-VPN-EXTR-ASA,firewall,PASSED
35,ATH-VPN-EXTR-ASA,firewall,ADVISORY
0,ATH-CORP-GST-ASA,firewall,PASSED
1,ATH-CORP-GST-ASA,firewall,FAILED
2,ATH-CORP-GST-ASA,firewall,PASSED
3,ATH-CORP-GST-ASA,firewall,PASSED
